datetime,market_price_usd,total_supply,market_cap_usd,realised_cap_usd,nupl,coin_days_destroyed,active_addresses,fear_greed_value,lightning_nodes,lightning_capacity_usd,fear_greed_category_Extreme Fear,fear_greed_category_Extreme Greed,fear_greed_category_Fear,fear_greed_category_Greed,fear_greed_category_Neutral
2019-09-16 00:00:00,10228.45,17940096,183499375391.1977,102558720222.48991,0.4410949900845842,3800282.429589064,801535.0,38.0,4844.0,8505815.575,0,0,1,0,0
2019-09-17 00:00:00,10209.77,17941946,183183142471.5776,102603264894.75984,0.4398869704362692,6763967.24383431,808713.0,41.0,4844.0,8430281.49,0,0,1,0,0
2019-09-18 00:00:00,10154.23,17944121,182208732238.4898,102743325201.42404,0.4361229347288082,14545858.360013071,887035.0,38.0,4844.0,8406900.299,0,0,1,0,0
2019-09-19 00:00:00,10256.56,17945971,184063928781.02185,102789055537.00362,0.4415578531995247,4354265.851953258,758469.0,31.0,4824.0,8139593.005,0,0,1,0,0
2019-09-20 00:00:00,10177.38,17947858,182662176598.4309,102818072515.22296,0.4371135041204465,5907017.664040956,758288.0,41.0,4824.0,8378586.384,0,0,1,0,0
2019-09-21 00:00:00,9989.05,17949933,179302783677.40625,102834010575.63013,0.4264784490984558,3449379.399770922,673285.0,37.0,4824.0,8289934.426,0,0,1,0,0
2019-09-22 00:00:00,10026.91,17952008,180003173999.6689,102860345139.2452,0.4285637144407554,1479330.9321353342,625449.0,37.0,4824.0,8252108.019,0,0,1,0,0
2019-09-23 00:00:00,9696.57,17953433,174086725109.17273,102822945895.9663,0.4093579172594332,5939145.548710287,745122.0,41.0,4824.0,8160475.525,0,0,1,0,0
2019-09-24 00:00:00,8681.79,17955396,155884977829.2807,102592652985.53584,0.3418695347418826,33089664.15344392,863866.0,39.0,4824.0,7967748.606,0,0,1,0,0
2019-09-25 00:00:00,8462.76,17957346,151968709815.55038,102366330958.42998,0.3263986311216599,10367877.599804698,825103.0,15.0,4824.0,6937855.645,1,0,0,0,0
2019-09-26 00:00:00,8095.18,17959483,145385252003.58945,102012008374.26833,0.2983331736306394,10338689.868511304,773419.0,12.0,4847.0,6907547.63,1,0,0,0,0
2019-09-27 00:00:00,8182.78,17961133,146972004349.12903,102019053508.94003,0.3058606367876985,7264463.516518171,721178.0,24.0,4847.0,6620116.479,1,0,0,0,0
2019-09-28 00:00:00,8246.69,17963121,148136290690.36322,101966099547.2605,0.3116737359085653,4990249.433770139,652682.0,32.0,4847.0,6719638.181,0,0,1,0,0
2019-09-29 00:00:00,8053.96,17964821,144687950103.3657,101939308939.8152,0.2954540522069093,3082874.467781336,581939.0,33.0,4847.0,6600644.808,0,0,1,0,0
2019-09-30 00:00:00,8279.07,17966446,148745464457.5494,101923728176.71532,0.3147775728933003,7149460.951898383,759048.0,27.0,4847.0,6539465.387,0,0,1,0,0
2019-10-01 00:00:00,8316.5,17968233,149432814276.76273,101847186520.26488,0.3184416219878258,3991450.599194906,792546.0,38.0,4847.0,6765846.568,0,0,1,0,0
2019-10-02 00:00:00,8377.69,17970083,150547789213.8796,101843804443.28998,0.3235117900097294,3348622.851856264,734492.0,39.0,4847.0,6658462.017,0,0,1,0,0
2019-10-03 00:00:00,8268.5,17971921,148600829160.35406,101800990832.27376,0.3149365894693557,3682906.4481687057,723661.0,37.0,4830.0,6657658.932,0,0,1,0,0
2019-10-04 00:00:00,8149.69,17973758,146480560276.3759,101772166664.58987,0.3052172488105678,4161248.9930719305,733685.0,30.0,4830.0,6590124.916,0,0,1,0,0
2019-10-05 00:00:00,8157.7,17975733,146640641539.8211,101777505373.30376,0.3059393064257326,1970303.9943345804,658270.0,31.0,4830.0,6545428.213,0,0,1,0,0
2019-10-06 00:00:00,7872.74,17977596,141532939487.0958,101739943174.06316,0.2811571388062687,2210579.9412897774,584930.0,32.0,4830.0,6469991.765,0,0,1,0,0
2019-10-07 00:00:00,8200.58,17979533,147442603198.22952,101758771533.18848,0.3098414615185633,7039457.265810955,760241.0,27.0,4830.0,6462261.347,0,0,1,0,0
2019-10-08 00:00:00,8180.54,17981558,147098858939.48828,101767145302.3738,0.3081717558105768,11653751.283793695,743943.0,39.0,4830.0,6630554.908,0,0,1,0,0
2019-10-09 00:00:00,8557.25,17983283,153887453115.2148,101808060450.6761,0.3384252036814665,3254215.2529924023,720117.0,37.0,4830.0,6645038.436,0,0,1,0,0
2019-10-10 00:00:00,8565.77,17985308,154058016375.268,101816925995.23018,0.3391001105244949,3711699.175449433,756672.0,41.0,4801.0,6905972.095,0,0,1,0,0
2019-10-11 00:00:00,8290.94,17987258,149131281360.85324,101780791619.15504,0.317508770189697,5360000.2103081895,751493.0,39.0,4801.0,6780213.656,0,0,1,0,0
2019-10-12 00:00:00,8296.7,17988921,149248681233.8223,101799704746.6624,0.3179188994830939,3157184.285404816,614227.0,38.0,4801.0,6760721.397,0,0,1,0,0
2019-10-13 00:00:00,8255.0,17990696,148513195851.24692,101795797328.09248,0.3145673234986291,1313012.06664417,564137.0,38.0,4801.0,6765447.232,0,0,1,0,0
